ticker,company,fiscal_quarter,report_date,time,status,notes
NVDA,NVIDIA,Q4 FY2026,2026-02-26,AMC,reported,Q4 FY2026 — 1月季度；营收创纪录
NVDA,NVIDIA,Q1 FY2027,2026-05-20,AMC,confirmed,Q1 FY2027 — 4月季度
NVDA,NVIDIA,Q2 FY2027,2026-08-27,AMC,estimated,Q2 FY2027 — 7月季度
NVDA,NVIDIA,Q3 FY2027,2026-11-19,AMC,estimated,Q3 FY2027 — 10月季度
AAPL,Apple,Q1 FY2026,2026-01-29,AMC,reported,Q1 FY2026 — 12月季度
AAPL,Apple,Q2 FY2026,2026-04-30,AMC,reported,Q2 FY2026 — 3月季度
AAPL,Apple,Q3 FY2026,2026-07-31,AMC,estimated,Q3 FY2026 — 6月季度
AAPL,Apple,Q4 FY2026,2026-10-29,AMC,estimated,Q4 FY2026 — 9月季度
MSFT,Microsoft,Q3 FY2026,2026-04-29,AMC,reported,Q3 FY2026 — 3月季度
MSFT,Microsoft,Q4 FY2026,2026-07-29,AMC,estimated,Q4 FY2026 — 6月季度
MSFT,Microsoft,Q1 FY2027,2026-10-28,AMC,estimated,Q1 FY2027 — 9月季度
GOOGL,Alphabet,Q1 2026,2026-04-29,AMC,reported,Q1 2026 日历季度
GOOGL,Alphabet,Q2 2026,2026-07-23,AMC,estimated,Q2 2026 日历季度
GOOGL,Alphabet,Q3 2026,2026-10-27,AMC,estimated,Q3 2026 日历季度
META,Meta Platforms,Q1 2026,2026-04-23,AMC,reported,Q1 2026 日历季度
META,Meta Platforms,Q2 2026,2026-07-29,AMC,estimated,Q2 2026 日历季度
META,Meta Platforms,Q3 2026,2026-10-22,AMC,estimated,Q3 2026 日历季度
AMZN,Amazon,Q1 2026,2026-05-01,AMC,reported,Q1 2026 日历季度
AMZN,Amazon,Q2 2026,2026-07-30,AMC,estimated,Q2 2026 日历季度
AMZN,Amazon,Q3 2026,2026-10-29,AMC,estimated,Q3 2026 日历季度
TSLA,Tesla,Q1 2026,2026-04-22,AMC,reported,Q1 2026 日历季度
TSLA,Tesla,Q2 2026,2026-07-22,AMC,estimated,Q2 2026 日历季度
TSLA,Tesla,Q3 2026,2026-10-20,AMC,estimated,Q3 2026 日历季度
AMD,Advanced Micro Devices,Q1 2026,2026-05-05,AMC,reported,Q1 2026 日历季度
AMD,Advanced Micro Devices,Q2 2026,2026-08-04,AMC,estimated,Q2 2026 日历季度
AMD,Advanced Micro Devices,Q3 2026,2026-10-27,AMC,estimated,Q3 2026 日历季度
AVGO,Broadcom,Q2 FY2026,2026-06-03,AMC,confirmed,Q2 FY2026 — 4月季度；含AI ASIC收入
AVGO,Broadcom,Q3 FY2026,2026-09-03,AMC,estimated,Q3 FY2026
AVGO,Broadcom,Q4 FY2026,2026-12-09,AMC,estimated,Q4 FY2026
