category,institution,quarter,quarter_end_date,stock_ticker,stock_company,action,value_change_usd_mn,pct_change,notes,timing_known
Core Smart Money,Berkshire Hathaway,Q2 2026,2026-06-30,GOOGL,Alphabet A,Added,12557.5,45.2,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Core Smart Money,Berkshire Hathaway,Q2 2026,2026-06-30,GOOG,Alphabet C,Added,8578.0,658.3,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Core Smart Money,Berkshire Hathaway,Q2 2026,2026-06-30,DAL,"Delta Air Lines, Inc",Added,2722.1,44.0,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Core Smart Money,Berkshire Hathaway,Q2 2026,2026-06-30,BAC,Bank of America,Reduced,2504.6,-5.9,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Core Smart Money,Berkshire Hathaway,Q2 2026,2026-06-30,DVA,Davita Inc,Reduced,1799.1,-4.1,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Core Smart Money,Berkshire Hathaway,Q2 2026,2026-06-30,KR,Kroger Co,Reduced,-1452.3,-22.0,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Core Smart Money,Berkshire Hathaway,Q2 2026,2026-06-30,COF,Capital One Financial Corp,Reduced,-702.5,-58.0,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Core Smart Money,Berkshire Hathaway,Q2 2026,2026-06-30,LEN,Lennar Corp,Added,309.4,29.8,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Core Smart Money,Berkshire Hathaway,Q2 2026,2026-06-30,NUE,Nucor Corp,Reduced,-246.9,-52.5,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Core Smart Money,Berkshire Hathaway,Q2 2026,2026-06-30,NYT,New York Times Co,Added,-169.5,3.7,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Core Smart Money,Berkshire Hathaway,Q2 2026,2026-06-30,M,Macy's,Added,118.1,141.8,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Core Smart Money,Berkshire Hathaway,Q2 2026,2026-06-30,ALLY,Ally Financial Inc,Reduced,103.0,-6.9,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
